"SUID","AverageShortestPathLength","BetweennessCentrality","biogrid.ALIASES","biogrid.BIOGRID_ID","biogrid.ENTREZ_GENE","biogrid.OFFICIAL_SYMBOL","biogrid.ORGANISM_ID","biogrid.SYSTEMATIC_NAME","canonicalName","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","ID","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"105","4.12178457","0.0","NFNS|VRNF|WSS","110836","4763","NF1","9606",,"NF1","0.24261336","1.0","2","6","4763","false","NF1","80.5","2","0","0","0.65313505","false","0","NF1","0","0.68803419"
"106","4.12178457","0.0","MLK4|dJ862P8.3","124089","84451","KIAA1804","9606","RP5-862P8.2","KIAA1804","0.24261336","1.0","2","6","84451","false","KIAA1804","80.5","2","0","0","0.65313505","false","0","KIAA1804","0","0.68803419"
"107","4.22909968","0.0","","115181","9846","GAB2","9606",,"GAB2","0.23645695","0.0","1","7","9846","false","GAB2","89.0","1","0","0","0.64121115","false","0","GAB2","0","0.0"
"108","4.12178457","0.0","dJ283E3.1","122408","65220","NADK","9606","RP1-283E3.6","NADK","0.24261336","1.0","2","6","65220","false","NADK","80.5","2","0","0","0.65313505","false","0","NADK","0","0.68803419"
"109","4.22909968","0.0","LL5b|LL5beta","124661","90102","PHLDB2","9606",,"PHLDB2","0.23645695","0.0","1","7","90102","false","PHLDB2","89.0","1","0","0","0.64121115","false","0","PHLDB2","0","0.0"
"110","4.12178457","0.0","","112930","7074","TIAM1","9606",,"TIAM1","0.24261336","1.0","2","6","7074","false","TIAM1","80.5","2","0","0","0.65313505","false","0","TIAM1","0","0.68803419"
"111","4.20377814","0.0","71-7A|CXorf5|JBTS10|RP23|SGBS2","114055","8481","OFD1","9606",,"OFD1","0.23788125","0.0","1","6","8481","false","OFD1","69.0","1","0","0","0.64402465","false","0","OFD1","0","0.0"
"112","4.51366559","0.0","TpMs","123987","84260","TCHP","9606",,"TCHP","0.22154942","0.0","1","7","84260","false","TCHP","27.0","1","0","0","0.60959271","false","0","TCHP","0","0.0"
"113","5.28014469","0.0","","112227","6322","SCML1","9606","RP3-389A20.1","SCML1","0.18938875","0.0","1","8","6322","false","SCML1","8.0","1","0","0","0.52442837","false","0","SCML1","0","0.0"
"114","5.28014469","0.0","COBLR1","116511","22837","COBLL1","9606",,"COBLL1","0.18938875","0.0","1","8","22837","false","COBLL1","8.0","1","0","0","0.52442837","false","0","COBLL1","0","0.0"
"115","5.28014469","0.0","NYD-SP15|bA103J18.1","123540","81602","CDADC1","9606","RP11-103J18.2","CDADC1","0.18938875","0.0","1","8","81602","false","CDADC1","8.0","1","0","0","0.52442837","false","0","CDADC1","0","0.0"
